DOSE (RAD)	f(D)
0.079713473	1
0.192514699	0.992496195
0.453372467	1.010179661
0.96534536	1.03550953
1.905844782	0.979345037
4.840626029	1.114650388
10.05051194	1.066982028
19.84234506	1.04111344
53.00158292	0.994447526
107.308611	0.784559651
234.3166035	0.506535655
551.8160279	0.251429009
1174.956753	0.118083118
2439.543317	0.050195395
5602.203263	0.022551367
12544.93084	0.010070788
