Dose (Gy)	TL (a.u.)
0.051860443	6569.287187
0.103613002	14968.64476
0.157228689	24783.38274
0.210716926	38365.56566
0.272554147	53694.1544
0.322604574	75147.13173
0.375129413	93498.12888
0.440093829	116330.456
0.544541306	147191.6629
0.584600719	186240.0127
0.644538041	206000.6606
0.783478305	274129.7717
0.943956172	329798.1197
1.210184644	417289.9797
1.665635473	603979.0822
3.240390144	790333.1872
6.767732116	966944.3049
